Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14,Prereq_15,Prereq_16,Prereq_17,Prereq_18,Prereq_19,Prereq_20,Prereq_21,Prereq_22,Prereq_23,Prereq_24,Prereq_25,Prereq_26,Prereq_27,Prereq_28,Prereq_29,Prereq_30,Prereq_31,Prereq_32,Prereq_33,Prereq_34,Prereq_35,Prereq_36,Prereq_37,Prereq_38,Prereq_39,Prereq_40
AAAD 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 386,AAAD 101,AAAD 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 401,ECON 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 405,AAAD 101,ARTH 152,ARTH 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 487,AAAD 101,AAAD 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 691H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 692H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 301,AERO 101,AERO 102,AERO 201,AERO 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 302,AERO 101,AERO 102,AERO 201,AERO 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 401,AERO 101,AERO 102,AERO 201,AERO 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 402,AERO 101,AERO 102,AERO 201,AERO 202,AERO 301,AERO 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 225L,AMST 225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 691H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 692H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 903,AMST 700,AMST 701,AMST 901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 66H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 93,ANTH 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 198H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
